Terim,Açıklama
"AB Tanımlı Genel Yönetim Nominal Borç Yükü","Günümüzde AB tanımlı genel yönetim nominal borç stokunun GSYH’ya oranı bu amaçla kullanılmaktadır. Bu hesaplama yapılırken genel yönetim iç ve dış borç stoklarının toplamı alınmakta bu toplamdan ayarlama kalemleri düşülmekte ve bulunan tutar GSYH’ya bölünmektedir."
"ABD Merkez Bankası (Fed)","1913 yılında kurulmuştur. Fed’in kuruluş yasasında izleyeceği para politikası için üç temel amaç belirlenmiştir: En üst düzeyde istihdamın sağlanması, fiyat istikrarının gerçekleştirilmesi ve uzun dönemli faizlerin makul düzeyde tutulması."
"Açık (iç ve dış ekonomik denge açıkları)","Bir ekonomide iç ve dış ekonomik dengeler vardır. İç ekonomik denge iki alt dengeye ayrılır: özel kesim dengesidir ve kamu kesimi dengesidir."
"Açık piyasa işlemleri (APİ)","Para politikası uygulaması açısından merkez bankalarının piyasadaki para miktarını artırmak veya azaltmak amacıyla hazine kağıdı alım veya satım işlemlerini yapmasıdır."
"Açık Pozisyon (Short Position)","Bir işletmenin döviz yükümlülüklerinin döviz varlıklarından daha büyük olması haline açık pozisyon denir."
"Ahbap çavuş kapitalizmi (crony capitalism)","İşadamlarının işlerini, siyasal iktidar ve bürokratlarla olan yakın ilişkilerine dayanarak yürüttüğü sistem."
"Akım Değişken","Belli bir dönem içinde ölçülen değişkenlere akım değişken denir. Örneğin, gelir bir akım değişkendir."
"Akıl Yürütme Yöntemi","Verileri birbirine bağlayarak analiz etmeyi gerektiren yöntemdir. Sherlock Holmes'un akıl yürütme yöntemi de bu bağlamda ele alınabilir."
"Algoritma","Belli bir problemi çözmek veya belirli bir amaca ulaşmak için tasarlanan yoldur."
"Alternatif Maliyet","Herhangi bir mal ya da hizmetin satın alınmasında vazgeçilen alternatifin maliyetidir."
"Altın","Parlak, ağır ve kolay tepkimeye girmeyen bir metaldir. Saf haliyle yumuşak ve yüksek iletkenliği vardır."
"Altın Standardı","Paranın değerinin belli ağırlıkta altının değerine bağlandığı parasal sistem."
"Amortisman","Yatırım mallarının kullanıldıkça eskimesi ve değerinin düşmesi nedeniyle kullanım süresi sonunda yenisinin alınması için ayrılması gereken miktarlara amortisman deniyor. İki tür uygulanma şekli vardır: Sabit oranlı amortisman ve azalan bakiyeler yöntemiyle amortisman."
"Ankes","Bankaların mevduat çekilişi veya günlük işlemlere ilişkin ödemelerini karşılayabilmeleri amacıyla kasalarında hazır bulundurdukları paraya ankes denir. Miktarı ve şekli bankaların kararlarına bağlıdır."
"Arbitraj","Fiyat farklılıklarından kazanç sağlamak amacıyla para, değerli maden, hisse senedi ve tahvil gibi değerleri alıp satma işlemine arbitraj adı veriliyor. En yaygın uygulama döviz piyasasında görülmektedir."
"Arz Yönlü Ekonomi (Supply Side Economics)","Ekonominin gelişimini üretim tarafında görerek üretimin artırılması için vergi indirimleri ve piyasaların deregülasyonunu savunan ekonomi yaklaşımına arz yönlü ekonomi denir."
"Asgari Ücret","Asgari ücret, işçi ve ailesinin insanca yaşamasını mümkün kılacak minimum ücrettir ve işverenin işçiye bu tutarın altında ücret ödemesi önlenmektedir."
"Asimetrik Bilgi","Bilgiye erişim konusunda farklı konumların olduğu durumları ifade eder. Özellikle kullanılmış mallarda veya müzayedelerde fiyat farklılığını etkileyen bir olgudur."
"Avrupa Birliği (European Union)","Avrupa Birliği, Avrupa kıtasındaki ülkelerin siyasal ve ekonomik birlik sağlamak üzere örgütlenmesine verilen addır. 2012 itibarıyla 27 üyesi bulunmaktadır."
"Avrupa İstikrar Mekanizması","Finansal açıdan zorluk içine giren Avrupa Birliği üyesi ülkelere finansal destek sağlamak amacıyla geliştirilmiş bir mekanizmadır."
"Avrupa Merkez Bankası (European Central Bank - ECB, AMB)","Avrupa Merkez Bankası, Euro birliğinin para politikası ve uygulamalarını yönetmek üzere kurulmuş olan merkez bankasıdır. Temel görevi fiyat istikrarını sağlamaktır."
"Avrupa Yatırım Bankası (European Investment Bank)","1958 yılında Roma Antlaşmasıyla kurulmuş, merkezi Lüksemburg'da bulunan Avrupa Birliği'nin finansal kuruluşudur. Avrupa Birliği ve çevresinde büyüme, istihdam, çevre, rekabetin geliştirilmesi gibi konularda finansman imkânı sağlamaktadır."
"Ayı Piyasası","Ayı piyasası; gelecek hakkında karamsar beklentilerin egemen olduğu piyasaları anlatan bir deyimdir. Piyasanın mevcut haline göre daha kötüye gideceği beklentisi içinde olan kişiler, hisse senetlerini satmak suretiyle kâr elde etmeyi amaçlarlar."
"Ayrışma (Decoupling)","Ekonomilerin büyük çoğunluğu aynı yönde giderken bazılarının farklı yönde gidebilmesi olgusudur. Örneğin, gelişmiş ekonomiler çöküş yaşarken gelişen ekonomilerin çıkış göstermesi bu durumu gösterir."
"Baltık Kuru Yük Endeksi (Baltic Dry Index)","Deniz yoluyla taşınan hammadelerin fiyat hareketlerini değerlendiren bir endekstir. Gemi brokerları, taşıma maliyetlerini Baltık Borsasına bildirir ve bu verilere dayanarak endeks oluşturulur."
"Balon ya da Köpük (ekonomik anlamı)","Sanal değerle reel değer arasındaki farkın sanal olanı lehine giderek büyümesine balon ya da köpük denir. Örneğin, 1636-1637 yıllarında Hollanda’da yaşanan ‘Lale Çılgınlığı’ bu duruma örnektir."
"Basel Komitesi","Uluslararası bankacılık standartlarını belirleyen komite 1974 yılında Bank for International Settlements (BIS) tarafından kurulmuştur. Kredil riskleri, piyasa riski ve operasyonel risk konularında çalışmalar yapmaktadır."
"Batık Kredi","Vadesinden sonra ödenmemiş ve borçluya bildirilmesine karşın ödenmeme durumu devam eden kredilere batık kredi denir."
"Baz Etkisi","Karşılaştırmaya konu olan iki dönemden ilkinde ortaya çıkan aşırı yükseliş veya düşüşün sonuçları üzerindeki etkisidir. Örneğin, geçen yıl yüksek enflasyon oranı bu yılki oranı etkileyebilir."
"Beklentiler (Expectation)","Henüz gerçekleşmemiş bir olaya dair tahminlerdir. Örneğin, yıl ortasında yılsonu enflasyonunun %7 olarak beklenmesi bir beklentidir."
"BIST Endeksleri","Borsa İstanbul'un temel endeksleridir; BIST 100, BIST 50 ve BIST 30 gibi çeşitli endekslerden oluşur ve ulusal pazar ile kurumsal ürünler pazarındaki hisse senetlerini kapsar."
"Bitcoin","Merkezi otoriteye bağlı olmayan, internet aracılığıyla kullanılan sanal bir para birimidir. Kullanıcılar kimliklerini açıklamadan işlemler yapabilirler."
"Blockchain","Şifrelenmiş işlem takibi sağlayan dağıtık bir veri tabanıdır. Bilgiler bloklar halinde kaydedilir ve birden fazla yerde tutulur, bu sayede güvenilirlik sağlanır."
"Boğa Piyasası","Gelecek hakkında iyimser beklentilerin egemen olduğu piyasaları anlatan bir deyimdir. Piyasanın yükseleceği beklentisiyle yatırım yapan kişilere boğa denir."
"Borç Servisi","Borçların anapara ve faizlerinin alacaklılara ödenmesine borç servisi denir. Ödeme tarihleri belirli dönemlerde yapılır."
"Avrupa Yatırım Bankası (European Investment Bank)","1958 yılında Roma Antlaşmasıyla kurulmuş, merkezi Lüksemburg'da bulunan Avrupa Birliği'nin finansal kuruluşudur. Avrupa Birliği ve çevresinde büyüme, istihdam, çevre, rekabetin geliştirilmesi gibi konularda finansman imkânı sağlamaktadır."
"Ayı Piyasası","Ayı piyasası; gelecek hakkında karamsar beklentilerin egemen olduğu piyasaları anlatan bir deyimdir. Piyasanın mevcut haline göre daha kötüye gideceği beklentisi içinde olan kişiler, hisse senetlerini satmak suretiyle kâr elde etmeyi amaçlarlar."
"Ayrışma (Decoupling)","Ekonomilerin büyük çoğunluğu aynı yönde giderken bazılarının farklı yönde gidebilmesi olgusudur. Örneğin, gelişmiş ekonomiler çöküş yaşarken gelişen ekonomilerin çıkış göstermesi bu durumu gösterir."
"Baltık Kuru Yük Endeksi (Baltic Dry Index)","Deniz yoluyla taşınan hammadelerin fiyat hareketlerini değerlendiren bir endekstir. Gemi brokerları, taşıma maliyetlerini Baltık Borsasına bildirir ve bu verilere dayanarak endeks oluşturulur."
"Balon ya da Köpük (ekonomik anlamı)","Sanal değerle reel değer arasındaki farkın sanal olanı lehine giderek büyümesine balon ya da köpük denir. Örneğin, 1636-1637 yıllarında Hollanda’da yaşanan ‘Lale Çılgınlığı’ bu duruma örnektir."
"Basel Komitesi","Uluslararası bankacılık standartlarını belirleyen komite 1974 yılında Bank for International Settlements (BIS) tarafından kurulmuştur. Kredil riskleri, piyasa riski ve operasyonel risk konularında çalışmalar yapmaktadır."
"Batık Kredi","Vadesinden sonra ödenmemiş ve borçluya bildirilmesine karşın ödenmeme durumu devam eden kredilere batık kredi denir."
"Baz Etkisi","Karşılaştırmaya konu olan iki dönemden ilkinde ortaya çıkan aşırı yükseliş veya düşüşün sonuçları üzerindeki etkisidir. Örneğin, geçen yıl yüksek enflasyon oranı bu yılki oranı etkileyebilir."
"Beklentiler (Expectation)","Henüz gerçekleşmemiş bir olaya dair tahminlerdir. Örneğin, yıl ortasında yılsonu enflasyonunun %7 olarak beklenmesi bir beklentidir."
"BIST Endeksleri","Borsa İstanbul'un temel endeksleridir; BIST 100, BIST 50 ve BIST 30 gibi çeşitli endekslerden oluşur ve ulusal pazar ile kurumsal ürünler pazarındaki hisse senetlerini kapsar."
"Bitcoin","Merkezi otoriteye bağlı olmayan, internet aracılığıyla kullanılan sanal bir para birimidir. Kullanıcılar kimliklerini açıklamadan işlemler yapabilirler."
"Blockchain","Şifrelenmiş işlem takibi sağlayan dağıtık bir veri tabanıdır. Bilgiler bloklar halinde kaydedilir ve birden fazla yerde tutulur, bu sayede güvenilirlik sağlanır."
"Boğa Piyasası","Gelecek hakkında iyimser beklentilerin egemen olduğu piyasaları anlatan bir deyimdir. Piyasanın yükseleceği beklentisiyle yatırım yapan kişilere boğa denir."
"Borç Servisi","Borçların anapara ve faizlerinin alacaklılara ödenmesine borç servisi denir. Ödeme tarihleri belirli dönemlerde yapılır."
"Borç Stoku","Bir devletin, şirketin ya da kişinin belirli bir tarih itibariyle birikmiş borç miktarıdır. Kamu borç stoku, kamu kesiminin iç ve dış borçlarının toplamını ifade eder."
"Borç Tavanı","ABD’de Hazine’nin borçlanma limitine borç tavanı denir. Kongre, yasayla belirlenen tavana ulaşılana kadar borçlanma yetkisine sahiptir."
"Borç Verilebilir Fonlar Piyasası (Loanable Fund Market)","Finansman fazlası olup bunu ödünç vermek amacıyla piyasaya arz edenlerle, finansman açıklarını borçlanarak karşılamak isteyenlerin buluştuğu piyasa."
"Borç Yükü (Debt Burden)","Bir devletin, şirketin ya da kişinin belirli bir tarih itibariyle birikmiş borç miktarının toplam gelirine oranıdır. Kamu borç yükü, kamu kesiminin borçlarının GSYH'ya oranını ifade eder."
"Brent Petrol","Kuzey denizinden çıkarılan ve varili uluslararası standart kabul edilen, kaliteli ham petrol türüdür. Dünyanın ham petrol ticaretinin üçte ikisini karşılamakta kullanılır."
"Bretton Woods Sistemi","1944 yılında kabul edilen ekonomik ve mali sistemdir. Bu sistem, dünya para sisteminin altına endeksli dolara bağlı olarak yönlenmesini öngörür."
"Bulyonizm","Servetin değerli metallerden geldiğini öne süren yaklaşımın adıdır. 16. Yüzyılda İngiltere’nin ihracat gelirlerini değerli metallere çevirmesiyle yaygınlık kazanmıştır."
"Bütçe","Belirli bir dönem için elde edilecek gelirlerle yapılması planlanan giderleri gösteren tahmin cetvelidir. Kamu bütçesi, vergileri içerir."
"Bütçe Dengesi (Budget Balance)","Bütçe gelirleri ile giderleri arasındaki dengeyi ifade eder. Üç durumdan birisi söz konusudur: denktir, fazlası vardır ya da açığı vardır."
"Büyüme","Ekonomik büyüme, bir ülkede ya da bölgede insan ihtiyaçlarını karşılayacak olan araçlar ve ürünlerdeki artışı ifade eder. GSYH üzerinden ölçülür."
"Cari Denge (Cari Açık veya Cari Fazla)","Mal ve hizmetlerin gelir ve giderleri arasındaki dengeyi ifade eder. Cari açık ya da cari fazla ile sonuçlanabilir."
"Carry Trade","Faiz oranı düşük bir para biriminden borçlanıp, daha yüksek faizli bir para birimine çevirmek suretiyle gelir elde etme işlemidir."
"Case - Shiller Endeksi","ABD’deki konut satış fiyatlarını izlemek üzere geliştirilen bir endekstir. Birçok türü bulunmaktadır ve her ayın son Salı günü yayımlanır."
"Ceteris Paribus","Latince, “diğer tüm durumlar sabitken”, “öteki koşullar değişmediği sürece” anlamına gelen bir deyimdir. Ekonomide, bir değişkenin zaman içindeki değişimi izlenirken öteki değişkenlerin sabit olduğu varsayımının yapılmasıyla ortaya çıkan durumu ifade eder. Örneğin “Bir malın fiyatı artarken o mala olan talep düşer, ceteris paribus” önermesi yapılır."
"CDS (Credit Default Swap)","CDS, Credit Default Swap deyiminin kısaltmasıdır. Bir kişi ya da kuruluşun, kredi sahibinin karşılaşabileceği alacağın ödenmemesi riskini belirli bir bedel karşılığında üstlenmeyi kabul etmesinin bedelidir. Bu çerçevede bir anlamda kredi sigortası gibi çalışır."
"Çapraz Kur","İki para birimi arasındaki dolaylı değişim oranına çapraz kur adı verilmektedir. Genellikle ABD doları ile yerel paralar arasındaki değişim oranı şeklinde ifade edilir. Çapraz kur, iki ülkenin paralarının her birinin bir üçüncü ülkenin para birimiyle arasındaki paritedir."
"Çıktı Açığı","Bir ekonomide üretimin ya da gelirin toplam değeri olarak ifade edilen GSYH’nın, gerçekleşen düzeyinin, potansiyel düzeyinden farklı olması halinde aradaki farka çıktı açığı denir. Pozitif çıktıda talep fazlalığı, negatif çıktıda ise arz fazlalığı söz konusudur."
"Damping","Bir şirketin ürettiği malı iç piyasada sattığı fiyatın altında bir fiyata ihraç etmesi haline damping denir. Damping, geçici ve sürekli olmak üzere iki şekilde karşımıza çıkar."
"Davranışsal Ekonomi","Davranışsal ekonomi, rasyonel insan varsayımının geçerli olmadığı durumları dikkate alarak normal insan davranışlarını anlamak için psikolojiyi de işin içine katan bir ekonomi yaklaşımıdır."
"Deflasyon","Deflasyon, fiyatlar genel düzeyinde sürekli düşüş halidir. Bu durumda paranın satın alma gücü yükselir. Süreklilik gösterecek şekilde tüm malların fiyatlarının düşmesi gerekir."
"Değer Çelişkisi","Su ve elmas örneğinde olduğu gibi, bir malın fiyatını, ne kadar yararlı olduğu değil, ne kadar az ya da çok bulunur olduğu belirler. Su bol, elmas ise kıttır."
"Değişken","Farklı değerler alabilen bir büyüklüktür. Ekonomide fiyat gibi değişkenler, içsel ya da bağımsız değişken olarak tanımlanabilir."
"Depo","Türk lirası depo borç alma ve borç verme imkânı, Merkez Bankasının belirli vadeler için ilan ettiği faiz oranlarından sağladığı mevduat imkânıdır."
"Depresyon","Bir ekonomide ekonomik faaliyetlerin uzun süreli olarak aşağı yönlü olmasıdır. Resesyon ile depresyon arasındaki fark, süre ve büyüklük açısından belirlenir."
"Deregülasyon","Devlet kısıtlamalarının azaltılması veya kaldırılmasına deregülasyon denir. Daha az sayıda hukuki düzenlemenin üretimde verimliliği artıracağı savunulmaktadır."
"Devalüasyon","Bir ülkenin ulusal parasının yabancı ülkelerin ulusal paraları karşısında değişim değerinin idari bir kararla düşürülmesi eylemine devalüasyon denir. Devalüasyon sabit kur rejiminde uygulanan bir karardır. Dalgalı kur rejiminde oaranın değeri piyasada her gün değişir."
"Dışticaret Dengesi","Bir ülkenin yurtdışından döviz ödeyerek ithal ettiği mallar için yaptığı döviz ödemeleriyle yurtdışına döviz karşılığı sattığı mallardan elde ettiği döviz gelirleri arasındaki farka dışticaret dengesi denir. Dışticaret dengesi = Mal ihracatı gelirleri – mal ithalatı giderleri."
"DİBS (Devlet İç Borçlanma Senetleri)","Hazinenin bir yıl ve daha uzun vadeli iç borçlanmada kullandığı senetlere Devlet Tahvili, bir yıldan kısa vadeli iç borçlanmalarda kullandığı senetlere ise Hazine Bonosu adı veriliyor. Her iki borçlanma senedine ortaklaşa olarak Devlet İç Borçlanma Senetleri deniyor ve DİBS kısaltmasıyla gösteriliyor. DİBS’ler, Hazine’nin yaptığı borçlanmanın vade yapısına göre farklılık gösterir."
"Disponibilite","Merkez Bankası’nın bankaların kabul ettiği mevduata karşılık kasalarında tutulmasını zorunlu kıldığı parasal karşılıklardır. Ankes zorunlu olmadığı halde disponibilite zorunludur."
"Doğal işsizlik oranı","Milton Friedman, geçici ve yapısal işsizlik biçiminde ortaya çıkan işsizliği ‘doğal işsizlik’ ve bunun oranına da ‘doğal işsizlik oranı’ adını veriyor. Bu tür hesaplamalar genellikle uzun yıllar ortalaması alınarak yapılır."
"Doğrudan Alım","Genellikle piyasada kalıcı likidite sıkışıklığı olduğunda kullanılan doğrudan alım işlemleri, Merkez Bankası tarafından tedavülde bulunan kıymetlerin, işlem tarihinde belirlenmiş fiyat üzerinden satın alınması işlemidir."
"Doğrudan Satım","Genellikle piyasada kalıcı likidite fazlası olan durumlarda kullanılan doğrudan satım işlemleri, Merkez Bankası tarafından mevcut kıymetlerin, işlem tarihinde belirlenmiş fiyat üzerinden satılması işlemidir."
"Doğrudan Sermaye Yatırımı","Doğrudan yabancı sermaye yatırımı; yatırımcının yerleşik olduğu ekonomi dışındaki bir ekonomide bir işletmenin yönetimini kontrol ettiği veya yönetiminde söz sahibi olduğu uzun vadeli bir yatırım şeklidir."
"Dolar Endeksi","ABD Dolar Endeksi, Amerikan dolarının 6 büyük para biriminin oluşturduğu döviz sepetine karşı değerini ölçen bir endekstir. DXY kısaltmasıyla ifade edilir."
"Dolarizasyon","Bir ülkede yerli para dışında yabancı paraların da günlük alış verişlerde yaygın biçimde kullanılmasına dolarizasyon adı veriliyor."
"Dördüncü Madde Konsültasyonu","IMF'nin anasözleşmesinin dördüncü maddesi gereğince üye ülkelerde yılda bir kez gerçekleştirdiği ekonomik inceleme ve değerlendirme sürecidir."
"Dördüncü Sanayi Devrimi","Dünya artık robotların üretime gireceği bir aşamaya geçmeye hazırlanıyor. Bu yeni düzene de 4. Sanayi Devrimi adı veriliyor."
"Döviz ve Döviz Kuru Nedir ve Nasıl Belirlenir?","Döviz, yabancı ülke paralarına verilen genel addır. Döviz kuru, bir ülkenin parasının yabancı paralar karşısındaki değerini belirleyen katsayıdır."
"Döviz Depo İşlemleri","Döviz depo işlemleri, geçici döviz likiditesi ihtiyacı olan bankalar ile fazlası olan bankalar arasında Merkez Bankası garantörlüğünde yapılan işlemlerdir."
"Dünya Bankası (The World Bank, IBRD)","Dünya Bankası, üye ülkelerin gelişme projelerini finanse eden Birleşmiş Milletler'in özerk kuruluşlarından biridir."
"Ekonomide Isınma","Ekonominin ısınması, GSYH büyümesinin potansiyel büyümenin ötesine geçmesi anlamına gelir."
"Ekonomide Büyüme ve Fiyatlar İlişkisi","Ekonomiler büyüme ve enflasyonla ilişkilerine göre dörde ayrılır: enflasyonsuz büyüme, enflasyonlu büyüme, stagflasyon, slumpflasyon."
"Ekonomik Safsata","Bir düşünceyi ortaya koyarken ya da anlamaya çalışırken yapılan yanlış çıkarsamaya dayalı olarak ortaya atılan düşünceye safsata adı veriliyor. Bir başka tanımlamaya göre safsata, ilk bakışta geçerli gibi görünmekle birlikte yakından incelendiğinde doğru olmadığı ortaya çıkabilen iddialardır. Safsataların en yaygın olduğu alanların başında ekonomi geliyor. Henry Hazlitt bu durumu “Ekonomi, bütün diğer bilimlerden daha fazla safsatanın etkisi altındadır” sözüyle özetliyor. Bazen safsatalar öylesine mantıklı görünür ki insan sorup soruşturmadan arkasına takılır gider. Soruşturmayı çoğu kez gerekli görmeyiz çünkü böyle bir safsatayı uydurmanın kimseye bir yararı olmadığı gibi bir nedeni de yoktur. Sherlock Holmes’e göre: “Çözülmesi en zor suçlar, nedensiz işlenen suçlardır.”"
